#Num,collapses/collapsed,reconstruction/irreparable,reconstruction/cost_impractical,reconstruction/cost,reconstruction/time_impractical,reconstruction/time-sequential,reconstruction/time-parallel,event_time/month,event_time/weekday?,event_time/hour
0,0.0,0.0,0.0,1339672.3328097325,0.0,971.1251762744412,108.40070613596941,1,0,10
1,0.0,0.0,0.0,1061794.3273597471,0.0,704.7346081399949,212.03415711455287,8,1,13
2,0.0,0.0,0.0,1809602.7480828424,0.0,1435.8091394747605,240.29926741726243,3,1,5
3,0.0,0.0,0.0,1733368.7393813324,0.0,1063.2954908954123,242.5644028478278,5,0,12
4,0.0,0.0,0.0,433194.4579887528,0.0,348.07449493627956,52.69906741910529,5,0,3
5,0.0,0.0,0.0,1166164.3964061474,0.0,808.8227118076588,89.94228995747707,11,1,4
6,0.0,0.0,0.0,1933068.5000884233,0.0,1425.388553891285,137.4092774145371,3,1,4
7,0.0,0.0,0.0,1366847.6279621331,0.0,944.7516553783222,189.2565967774772,3,1,19
8,0.0,0.0,0.0,1469580.9523186632,0.0,1026.3051719562643,99.99512481432102,4,0,22
9,0.0,0.0,0.0,1327586.2614044596,0.0,1294.6860602067395,305.76855929230095,6,0,15
10,0.0,0.0,0.0,760656.844526937,0.0,764.4215730311699,133.29142541381663,1,0,19
11,0.0,0.0,0.0,1097180.6018115561,0.0,823.5759038500892,161.72761079106758,10,1,7
12,0.0,0.0,0.0,1527878.3699863586,0.0,1287.015328967827,171.1685029788937,2,1,1
13,0.0,0.0,0.0,1210124.234015623,0.0,936.05027103787,174.56313114883764,4,1,15
14,0.0,0.0,0.0,882288.7937537408,0.0,921.8896189284923,131.76654570698472,10,1,22
15,0.0,0.0,0.0,1562014.4667052026,0.0,1221.9760635796963,443.16384097111836,2,0,16
16,0.0,0.0,0.0,1631686.2979921445,0.0,1251.706658277478,259.5694310505242,10,0,8
17,0.0,0.0,0.0,874388.5151504956,0.0,722.6114990505318,172.33138685451217,10,1,15
18,0.0,0.0,0.0,1536132.2690306273,0.0,1288.2181410076207,171.03083179706186,7,0,1
19,0.0,0.0,0.0,1022016.4923671994,0.0,691.0331432794018,206.82679262277475,9,1,11
20,0.0,0.0,0.0,920151.0219002019,0.0,702.2227294006316,167.88282226172691,2,1,14
21,0.0,0.0,0.0,1466644.5754586349,0.0,1339.8065277892802,187.00362773257388,6,0,0
22,0.0,0.0,0.0,1476549.1712751063,0.0,1271.6101371916661,184.41803109411285,9,1,14
23,0.0,0.0,0.0,773267.8115567463,0.0,574.8849587132302,89.62975079951228,5,1,0
24,0.0,0.0,0.0,1359353.7588776387,0.0,1215.0253858208873,254.73648945272453,1,1,4
25,0.0,0.0,0.0,1134157.4964531383,0.0,809.0092564768153,243.37402741123702,6,1,4
26,0.0,0.0,0.0,853218.1573706607,0.0,620.8220236900193,229.25654197380803,12,1,18
27,0.0,0.0,0.0,1191725.251762551,0.0,1114.4890941544727,242.42855116108288,5,0,3
28,0.0,0.0,0.0,1272694.731235347,0.0,1031.9196461995862,156.63272780594502,10,1,3
29,0.0,0.0,0.0,1430348.2640362508,0.0,1154.3755369888613,209.83551925573096,2,1,5
30,0.0,0.0,0.0,1413724.5842115234,0.0,1139.270839265057,241.07807667365364,3,1,7
31,0.0,0.0,0.0,1078208.2797364946,0.0,827.7784417756266,191.48025811836806,9,1,3
32,0.0,0.0,0.0,1946855.0672886423,0.0,1374.0960254773977,133.50538649193342,5,1,23
33,0.0,0.0,0.0,1830389.680533611,0.0,1446.7751010567672,229.9226381599989,8,1,19
34,0.0,0.0,0.0,1079870.007958569,0.0,835.3507889565046,108.66636620460824,7,1,12
35,0.0,0.0,0.0,1247233.3405374885,0.0,1133.6939261772495,223.3720341834561,11,1,7
36,0.0,0.0,0.0,1132630.9094394012,0.0,974.952252096546,172.36799491101704,12,1,21
37,0.0,0.0,0.0,906398.6621919428,0.0,732.9700047999393,165.46243891330087,12,1,1
38,0.0,0.0,0.0,1007068.1001448855,0.0,762.7156202450851,144.30890853644354,11,1,0
39,0.0,0.0,0.0,829535.279096929,0.0,798.639530596047,60.81568713433308,5,0,16
40,0.0,0.0,0.0,902122.2946184627,0.0,701.1499473163142,148.28539121714965,2,1,11
41,0.0,0.0,0.0,1440443.4032095731,0.0,1068.3824706177918,118.41579331832494,9,1,18
42,0.0,0.0,0.0,1350227.5486381752,0.0,833.4929928216128,107.78394501018334,10,1,21
43,0.0,0.0,0.0,1574116.9621652665,0.0,1230.6922119152687,272.2897028946811,10,1,11
44,0.0,0.0,0.0,1094879.713648823,0.0,996.3270077767585,226.56192831993891,7,1,17
45,0.0,0.0,0.0,1111978.8878243072,0.0,1200.7158593644813,207.4022272570488,6,0,8
46,0.0,0.0,0.0,1373691.9937096885,0.0,1258.1969496306467,170.49877328745606,5,1,17
47,0.0,0.0,0.0,1178162.5505483525,0.0,871.0088994136415,190.96423632793287,12,1,19
48,0.0,0.0,0.0,1246689.6158550645,0.0,937.7262030949762,284.20654740726286,9,0,11
49,0.0,0.0,0.0,2347107.556578296,0.0,2033.9291777387439,276.1362204397363,7,1,13
50,0.0,0.0,0.0,1405773.3662720914,0.0,1189.388836949359,149.03056074882667,8,0,13
51,0.0,0.0,0.0,1111941.5783398412,0.0,901.9491369506457,144.08436567763135,7,1,6
52,0.0,0.0,0.0,1156115.6973194985,0.0,938.1156867120909,140.24176593160914,9,1,6
53,0.0,0.0,0.0,1048440.6462513024,0.0,811.8646969388034,104.3079476947609,9,1,17
54,0.0,0.0,0.0,691242.6827431646,0.0,627.2181281556473,185.73034395415652,7,1,23
55,0.0,0.0,0.0,1628269.2077499218,0.0,1240.8702027596503,158.4176555611483,1,1,2
56,0.0,0.0,0.0,1537000.5411809883,0.0,810.9787811952589,166.9778795156468,4,0,2
57,0.0,0.0,0.0,1501230.0316267442,0.0,1296.186507318332,213.10697043310856,10,0,13
58,0.0,0.0,0.0,887185.7540143025,0.0,817.4618398769436,114.01902641737794,12,0,1
59,0.0,0.0,0.0,1355314.3253032926,0.0,1281.1643206053122,212.5406036594225,11,0,3
60,0.0,0.0,0.0,2595189.3329619463,0.0,946.2523941172219,151.15367051263152,8,1,10
61,0.0,0.0,0.0,4338626.417651196,0.0,1466.1592160865257,386.4984855959814,12,1,7
62,0.0,0.0,0.0,1866744.5213120808,0.0,1411.2933205423828,173.29677116440882,12,0,11
63,0.0,0.0,0.0,1170835.3648795902,0.0,991.1325402501388,153.02523184807313,5,0,19
64,0.0,0.0,0.0,685477.3117893387,0.0,636.8072045086027,171.91126890851632,6,1,23
65,0.0,0.0,0.0,901371.1864410648,0.0,944.9836824679276,177.84799339416378,7,0,1
66,0.0,0.0,0.0,952461.1953907125,0.0,677.2816564842988,183.99967601941907,12,0,19
67,0.0,0.0,0.0,1091678.3751402695,0.0,1028.3930344943324,231.4085191935516,4,1,2
68,0.0,0.0,0.0,1249949.2469565182,0.0,1128.2734491501235,171.58486437030436,5,1,20
69,0.0,0.0,0.0,1240770.4227030727,0.0,1050.4207543389934,159.92472598330147,9,0,12
70,0.0,0.0,0.0,1610458.2703531077,0.0,1193.3240248620787,125.2169533494579,7,1,6
71,0.0,0.0,0.0,841059.5307887397,0.0,664.1488894496068,144.1147443022916,4,0,21
72,0.0,0.0,0.0,1390350.9118991198,0.0,1218.7358676957242,284.27530580641235,8,0,1
73,0.0,0.0,0.0,1381327.1863602947,0.0,815.4365194173112,76.24240123940682,10,0,4
74,0.0,0.0,0.0,884385.6635730498,0.0,731.9426657568144,129.31715994955212,10,1,20
75,0.0,0.0,0.0,1137898.488982158,0.0,883.7918141128023,299.61955441054306,8,1,1
76,0.0,0.0,0.0,1171782.7437175687,0.0,1047.8228253777017,107.54108856608289,11,1,23
77,0.0,0.0,0.0,970527.0197651403,0.0,763.8150940475492,97.29385155379822,8,1,20
78,0.0,0.0,0.0,1360441.362646454,0.0,1022.6254307541259,389.2019892180684,2,1,16
79,0.0,0.0,0.0,1297152.4559834437,0.0,972.3699250984266,170.02053455969653,12,1,20
80,0.0,0.0,0.0,1614539.8021113004,0.0,1227.3850148806378,228.7783564761844,6,0,1
81,0.0,0.0,0.0,2110279.4328765916,0.0,1217.1768323280187,239.7998572356193,8,1,18
82,0.0,0.0,0.0,1147197.8649323045,0.0,750.0170857081462,179.52685651956182,7,0,5
83,0.0,0.0,0.0,1338950.15062852,0.0,1269.8932346796407,295.7597010337417,10,1,5
84,0.0,0.0,0.0,983499.0024172573,0.0,906.6130891904382,119.28871633108139,8,1,17
85,0.0,0.0,0.0,1435916.518749556,0.0,1276.4255077154648,168.18450023566544,2,1,7
86,0.0,0.0,0.0,1063506.168659442,0.0,824.0097513688273,246.62608008148993,2,1,23
87,0.0,0.0,0.0,1761406.6902836268,0.0,1340.0409397326669,198.19217189496587,10,1,5
88,0.0,0.0,0.0,1230242.7853233179,0.0,932.1151495414665,117.68161959863787,4,1,18
89,0.0,0.0,0.0,984493.9011045769,0.0,758.287637355323,159.82733696100024,6,1,2
90,0.0,0.0,0.0,1203716.5223754174,0.0,977.8066693064412,167.76158400601827,9,1,2
91,0.0,0.0,0.0,1328625.2657465562,0.0,936.5608202250645,165.31693895211856,1,1,20
92,0.0,0.0,0.0,1495635.5314736036,0.0,1025.5309913853778,305.76855929230095,9,1,18
93,0.0,0.0,0.0,1399671.3378903756,0.0,1007.7588967090977,211.31847786058134,2,0,2
94,0.0,0.0,0.0,1344308.5191483616,0.0,1193.2300282361941,362.88668884294304,3,1,14
95,0.0,0.0,0.0,963607.491558382,0.0,762.3957130328617,151.51206495801136,12,0,6
96,0.0,0.0,0.0,1543005.0277122078,0.0,1238.7373427814,247.90503755868406,5,1,18
97,0.0,0.0,0.0,791838.5976689005,0.0,682.4507071104706,218.49758586503864,8,1,4
98,0.0,0.0,0.0,1187168.228842663,0.0,876.1109899505241,188.54503091748816,12,0,2
99,0.0,0.0,0.0,1445998.528120812,0.0,975.2147837477919,219.56384036717697,10,1,0
100,0.0,0.0,0.0,1462218.4575633858,0.0,1294.161321886186,142.37620174419217,12,1,21
101,0.0,0.0,0.0,672918.4349171766,0.0,719.9295175213651,116.02832863872298,7,0,22
102,0.0,0.0,0.0,2416927.4498180663,0.0,2029.0469770479594,340.29560898943146,10,1,23
103,0.0,0.0,0.0,1402872.1960519452,0.0,1198.0978760490511,207.81334943381313,9,1,9
104,0.0,0.0,0.0,1525808.6479594656,0.0,1102.557700287461,166.5224990632298,4,1,17
105,0.0,0.0,0.0,867807.6792903309,0.0,710.5458663236814,156.3691132930387,2,0,3
106,0.0,0.0,0.0,1535404.5536120008,0.0,1001.0333851953189,158.72539977389096,9,1,18
107,0.0,0.0,0.0,1181655.8269903199,0.0,1148.9437930644715,314.8873965151368,6,1,13
108,0.0,0.0,0.0,1517006.1287790155,0.0,1476.1686081662247,293.5261267832539,10,0,12
109,0.0,0.0,0.0,1854548.1842156923,0.0,1278.26798508129,162.15533478002095,12,0,11
110,0.0,0.0,0.0,972892.6182027352,0.0,764.4422129092131,98.1679078934205,7,1,17
111,0.0,0.0,0.0,1449981.4853428113,0.0,1076.3669979360398,154.88859474757314,6,1,1
112,0.0,0.0,0.0,1228401.5804688893,0.0,1011.2639523218558,237.68010500031426,8,1,10
113,0.0,0.0,0.0,1434604.2945436893,0.0,1263.1057760438853,148.14585197440613,1,1,5
114,0.0,0.0,0.0,1151718.0635110163,0.0,1262.146257798529,181.7005804967501,10,1,22
115,0.0,0.0,0.0,1087048.3620202472,0.0,845.1563823323052,70.1914147895189,8,0,0
116,0.0,0.0,0.0,1914097.4663614966,0.0,1070.530221768293,290.0370190508219,5,1,21
117,0.0,0.0,0.0,1575617.9809027957,0.0,1158.0528421439853,323.44012996346487,7,0,9
118,0.0,0.0,0.0,1353548.6282998337,0.0,1086.8690394631833,199.66984207053915,6,1,22
119,0.0,0.0,0.0,865237.6538168003,0.0,821.2107999138997,319.6420734083444,6,1,6
120,0.0,0.0,0.0,1394997.063190826,0.0,1187.5122914167846,314.56547981303504,7,1,16
121,0.0,0.0,0.0,3809566.349770495,0.0,1144.5657416209187,151.04257805312673,10,1,4
122,0.0,0.0,0.0,1513230.2638904883,0.0,1073.2526765522698,114.44310200508596,3,1,12
123,0.0,0.0,0.0,1171517.9843843584,0.0,893.7984450459301,153.77549184141375,5,0,18
124,0.0,0.0,0.0,2889255.0639263615,0.0,1329.0287525387325,174.49137834551215,3,1,8
125,0.0,0.0,0.0,1606011.8829853162,0.0,1471.4442346561964,264.0615346482023,5,1,15
126,0.0,0.0,0.0,1166665.9834521492,0.0,1004.1429321845088,98.27960654372897,2,1,21
127,0.0,0.0,0.0,1210821.0704798512,0.0,1007.2701883481734,168.24027390791122,4,0,19
128,0.0,0.0,0.0,1607156.7619703936,0.0,1275.445688296535,175.4660473075432,4,1,22
129,0.0,0.0,0.0,744548.3839855788,0.0,572.2449203556922,91.08312080162004,10,0,18
130,0.0,0.0,0.0,1851242.36866038,0.0,1609.81189334988,346.43347945553427,9,0,10
131,0.0,0.0,0.0,1204020.117107164,0.0,1040.0393339742184,194.86770753866753,3,1,11
132,0.0,0.0,0.0,1153665.2503283324,0.0,1033.8455289435883,118.10571712655539,2,1,1
133,0.0,0.0,0.0,1080168.2322651597,0.0,817.2254180683178,134.63342250843456,12,1,19
134,0.0,0.0,0.0,1255825.1673056986,0.0,981.5417696300069,211.1016958398801,2,1,3
135,0.0,0.0,0.0,954222.829691966,0.0,604.7393783458891,72.04535241526919,11,1,12
